Algo,Size,U16/L,U16/R,U64/L,U64/R,U256/L,U256/R,U1024/L,U1024/R,U4096/L,U4096/R,U16384/L,U16384/R,U65536/L,U65536/R,U262144/L,U262144/R,U1048576/L,U1048576/R,U4194304/L,U4194304/R,
baseline,16,0,0,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
baseline,64,0,0,0,0,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
baseline,256,0,0,0,0,0,0,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
baseline,1024,2,2,2,2,2,2,2,2,_,_,_,_,_,_,_,_,_,_,_,_,
baseline,4096,9,9,9,9,9,9,9,9,9,9,_,_,_,_,_,_,_,_,_,_,
baseline,16384,37,38,37,37,37,37,37,37,37,37,37,37,_,_,_,_,_,_,_,_,
baseline,65536,150,150,150,150,150,150,150,150,149,150,150,150,150,150,_,_,_,_,_,_,
baseline,262144,605,605,603,603,603,603,603,608,606,603,603,603,603,604,603,603,_,_,_,_,
baseline,1048576,2414,2431,2422,2417,2416,2415,2421,2419,2415,2415,2430,2410,2435,2359,2374,2396,2418,2477,_,_,
baseline,4194304,9703,9679,9661,9668,9681,9663,9677,9661,9684,9660,9666,9659,9677,9706,9672,9679,9663,9703,9721,9871,
sort,16,1,1,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
sort,64,6,5,3,5,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
sort,256,17,16,26,26,15,29,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
sort,1024,59,59,79,84,118,120,71,132,_,_,_,_,_,_,_,_,_,_,_,_,
sort,4096,230,241,307,334,404,424,558,569,363,633,_,_,_,_,_,_,_,_,_,_,
sort,16384,905,774,1376,1351,1484,1674,1907,2029,2567,2626,1521,2962,_,_,_,_,_,_,_,_,
sort,65536,3540,3473,5067,4997,6045,6576,7415,8048,8393,9532,12013,11931,6960,12761,_,_,_,_,_,_,
sort,262144,14059,11910,19773,20388,25064,26558,27498,31290,32130,37693,39350,44092,53793,54378,30526,56261,_,_,_,_,
sort,1048576,57007,52578,79885,79777,96709,101241,112517,125805,128330,147983,149983,173253,171148,201556,243457,237523,135606,246371,_,_,
sort,4194304,224703,195265,313925,311149,388088,401532,474134,507939,496004,592889,613511,678821,692373,789053,796418,897743,1093416,1045371,595355,1083197,
nsquare,16,0,0,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
nsquare,64,0,0,1,1,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
nsquare,256,1,1,4,4,13,12,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
nsquare,1024,6,6,17,17,44,45,148,149,_,_,_,_,_,_,_,_,_,_,_,_,
nsquare,4096,24,25,69,79,227,165,611,576,2275,2186,_,_,_,_,_,_,_,_,_,_,
nsquare,16384,106,101,294,266,747,710,2358,2393,8783,8934,34958,34847,_,_,_,_,_,_,_,_,
nsquare,65536,407,382,1112,1114,2843,2925,9338,9423,34989,35086,138597,138790,553607,554167,_,_,_,_,_,_,
nsquare,262144,1637,1626,4937,4526,11440,11689,37787,37934,141184,140634,552927,555742,2214136,2211925,8882813,8529608,_,_,_,_,
nsquare,1048576,5616,5903,17878,17699,44261,44384,142995,143378,540047,548492,2165194,2166932,8533772,8839172,34881901,34804378,148084778,142337313,_,_,
nsquare,4194304,25583,25626,72639,72936,181623,181265,587520,587946,2223432,2288280,9020837,8966176,34662999,34835435,143585750,144021886,562531895,580541093,2673444910,2581411156,
trie,16,32,36,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
trie,64,1,21,2,85,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
trie,256,3,13,3,79,4,315,_,_,_,_,_,_,_,_,_,_,_,_,_,_,
